Hartlepool,Dag and Red,2-1
Oxford,Bristol Rvs,0-1
Plymouth,Northampton,1-0
Portsmouth,Exeter,3-2
Rochdale,AFC Wimbledon,1-2
Newport County,Hartlepool,2-0
AFC Wimbledon,Portsmouth,4-0
Bristol Rvs,Bury,1-1
Dag and Red,Burton,2-0
Exeter,Southend,0-2
Mansfield,Oxford,1-3
Morecambe,Rochdale,1-2
Northampton,Fleetwood Town,1-0
Scunthorpe,Accrington,0-2
Torquay,Chesterfield,0-2
Wycombe,Cheltenham,1-2
York,Plymouth,1-1
Accrington,Torquay,2-1
Burton,Bristol Rvs,1-0
Bury,AFC Wimbledon,1-1
Cheltenham,Newport County,0-0
Chesterfield,Wycombe,2-0
Fleetwood Town,Mansfield,5-4
Hartlepool,Northampton,2-0
Oxford,Morecambe,3-0
Plymouth,Dag and Red,2-1
Portsmouth,Scunthorpe,1-2
Rochdale,Exeter,3-1
Southend,York,2-1
Accrington,Fleetwood Town,2-0
AFC Wimbledon,Dag and Red,1-1
Burton,Mansfield,1-0
Bury,Hartlepool,1-0
Cheltenham,Bristol Rvs,0-0
Chesterfield,Northampton,0-0
Morecambe,York,0-0
Oxford,Newport County,0-0
Portsmouth,Southend,1-2
Rochdale,Scunthorpe,0-4
Torquay,Plymouth,1-1
Wycombe,Exeter,1-1
Bristol Rvs,AFC Wimbledon,3-0
Dag and Red,Wycombe,2-0
Exeter,Bury,2-2
Fleetwood Town,Oxford,1-1
Hartlepool,Portsmouth,0-0
Mansfield,Morecambe,1-2
Northampton,Accrington,1-0
Plymouth,Burton,0-1
Scunthorpe,Torquay,3-1
Southend,Cheltenham,1-1
York,Rochdale,0-0
Newport County,Chesterfield,3-2
Portsmouth,Wycombe,2-2
Morecambe,Cheltenham,0-1
Accrington,Exeter,2-3
AFC Wimbledon,Mansfield,0-0
Burton,York,1-1
Bury,Northampton,1-1
Cheltenham,Hartlepool,2-2
Chesterfield,Plymouth,2-0
Morecambe,Bristol Rvs,2-1
Oxford,Dag and Red,2-1
Portsmouth,Newport County,0-2
Rochdale,Fleetwood Town,1-2
Torquay,Southend,1-0
Wycombe,Scunthorpe,1-1
