Shrewsbury,Sheffield United,2-0
Swindon,Port Vale,5-2
Wolves,Stevenage,2-0
Bristol City,Crawley Town,2-0
Carlisle,Wolves,2-2
Brentford,Crewe,5-0
Carlisle,Crawley Town,1-1
Colchester,Swindon,1-2
Leyton Orient,Preston,0-1
Notts County,Wolves,0-1
Port Vale,Shrewsbury,3-1
Sheffield United,Gillingham,1-2
Stevenage,Rotherham,0-3
Tranmere,Bristol City,1-1
Bradford,Coventry,3-3
Walsall,Peterboro,2-0
Bristol City,Sheffield United,0-1
Coventry,Tranmere,1-5
Crawley Town,Walsall,0-0
Crewe,Port Vale,1-2
Gillingham,Oldham,0-1
Milton Keynes Dons,Bradford,2-3
Peterboro,Stevenage,0-1
Preston,Colchester,1-1
Rotherham,Carlisle,0-0
Shrewsbury,Notts County,1-0
Swindon,Leyton Orient,1-3
Wolves,Brentford,0-0
Bradford,Notts County,1-1
Brentford,Peterboro,3-2
Bristol City,Leyton Orient,2-2
Carlisle,Crewe,2-1
Colchester,Milton Keynes Dons,3-1
Coventry,Rotherham,0-3
Crawley Town,Swindon,0-0
Gillingham,Stevenage,3-2
Port Vale,Preston,0-2
Sheffield United,Walsall,1-1
Shrewsbury,Oldham,1-2
Wolves,Tranmere,2-0
Crewe,Crawley Town,1-0
Leyton Orient,Sheffield United,1-1
Milton Keynes Dons,Coventry,1-3
Notts County,Brentford,0-1
Peterboro,Wolves,1-0
Preston,Bristol City,1-0
Rotherham,Gillingham,4-1
Stevenage,Shrewsbury,1-3
Swindon,Carlisle,3-1
Tranmere,Colchester,2-1
Walsall,Port Vale,0-2
Oldham,Bradford,1-1
Notts County,Gillingham,3-1
Bradford,Leyton Orient,1-1
Brentford,Oldham,1-0
Bristol City,Rotherham,1-2
Carlisle,Tranmere,4-1
Colchester,Notts County,0-4
Coventry,Crewe,2-2
Crawley Town,Preston,2-2
Gillingham,Peterboro,2-2
Port Vale,Stevenage,2-2
Sheffield United,Swindon,1-0
Shrewsbury,Walsall,0-1
Wolves,Milton Keynes Dons,0-2
Tranmere,Gillingham,1-2
Crewe,Shrewsbury,1-1
Leyton Orient,Crawley Town,2-3
Milton Keynes Dons,Port Vale,3-0
Notts County,Bristol City,1-1
Oldham,Colchester,0-2
Peterboro,Bradford,2-1
Preston,Brentford,0-3
Rotherham,Wolves,3-3
Stevenage,Sheffield United,0-0
Swindon,Coventry,2-1
Walsall,Carlisle,2-0
Bradford,Rotherham,0-1
Brentford,Swindon,3-2
Bristol City,Walsall,1-0
Carlisle,Preston,0-1
Colchester,Stevenage,4-0
Coventry,Peterboro,4-2
Crawley Town,Milton Keynes Dons,0-2
Gillingham,Leyton Orient,1-2
Port Vale,Notts County,2-1
Sheffield United,Oldham,1-1
Shrewsbury,Tranmere,0-1
Wolves,Crewe,2-0
Bradford,Swindon,1-1
Brentford,Milton Keynes Dons,3-1
Bristol City,Stevenage,4-1
Carlisle,Peterboro,2-1
Colchester,Crewe,1-2
Coventry,Oldham,1-1
Crawley Town,Notts County,1-0
Gillingham,Walsall,2-2
Port Vale,Rotherham,2-0
Sheffield United,Tranmere,3-1
Shrewsbury,Preston,0-1
Wolves,Leyton Orient,1-1
Crewe,Carlisle,2-1
Milton Keynes Dons,Colchester,0-0
Notts County,Bradford,3-0
Oldham,Shrewsbury,1-2
Peterboro,Brentford,1-3
Preston,Port Vale,3-2
