Barnet,Wrexham,1-1
Macclesfield,Southport,2-2
Aldershot,Alfreton Town,2-3
Braintree Town,Chester,3-0
Cambridge,Salisbury,2-0
Dartford,Hyde United,4-3
Grimsby,Forest Green,3-1
Halifax,Welling United,3-0
Hereford,Barnet,0-1
Kidderminster,Lincoln,4-1
Nuneaton Town,Gateshead,1-4
Tamworth,Luton,3-4
Wrexham,Woking,2-0
Salisbury,Hereford,4-1
Alfreton Town,Halifax,3-0
Barnet,Kidderminster,1-0
Chester,Aldershot,1-1
Forest Green,Dartford,1-0
Gateshead,Luton,0-0
Hyde United,Nuneaton Town,2-2
Macclesfield,Wrexham,3-2
Southport,Cambridge,1-0
Tamworth,Braintree Town,0-0
Welling United,Lincoln,1-0
Woking,Grimsby,1-2
Hyde United,Chester,1-2
Barnet,Welling United,0-0
Braintree Town,Luton,1-2
Cambridge,Aldershot,4-0
Forest Green,Nuneaton Town,1-0
Halifax,Hyde United,4-0
Hereford,Chester,2-2
Macclesfield,Kidderminster,1-1
Southport,Lincoln,0-1
Tamworth,Alfreton Town,1-0
Woking,Dartford,3-0
Wrexham,Gateshead,3-2
Alfreton Town,Braintree Town,3-1
Barnet,Cambridge,2-2
Chester,Luton,1-1
Forest Green,Lincoln,4-1
Gateshead,Salisbury,3-2
Halifax,Aldershot,4-0
Kidderminster,Wrexham,3-1
Macclesfield,Dartford,3-1
Southport,Hereford,0-3
Tamworth,Grimsby,0-2
Welling United,Nuneaton Town,1-2
Woking,Hyde United,3-2
Dartford,Wrexham,1-5
Aldershot,Southport,5-1
Braintree Town,Halifax,1-0
Cambridge,Woking,2-0
Dartford,Gateshead,0-1
Grimsby,Barnet,2-1
Hyde United,Alfreton Town,1-2
Kidderminster,Tamworth,5-3
Lincoln,Hereford,1-1
Luton,Welling United,2-1
Nuneaton Town,Chester,1-0
Salisbury,Macclesfield,3-2
Wrexham,Forest Green,2-0
Aldershot,Braintree Town,2-1
Dartford,Barnet,0-2
Hereford,Halifax,3-2
Luton,Southport,3-0
Nuneaton Town,Alfreton Town,3-0
Salisbury,Forest Green,1-4
Alfreton Town,Luton,0-5
Barnet,Dartford,1-0
Chester,Braintree Town,0-2
Halifax,Woking,3-4
Hereford,Nuneaton Town,0-1
Cambridge,Macclesfield,3-0
Grimsby,Welling United,1-1
Lincoln,Gateshead,0-1
Woking,Kidderminster,1-0
Dartford,Halifax,1-2
Kidderminster,Alfreton Town,1-3
Macclesfield,Salisbury,1-0
Grimsby,Kidderminster,3-1
Aldershot,Tamworth,6-0
Alfreton Town,Dartford,2-1
Chester,Lincoln,3-3
Halifax,Forest Green,1-0
Hereford,Cambridge,1-0
Hyde United,Barnet,0-1
Luton,Gateshead,4-2
Nuneaton Town,Woking,0-2
Salisbury,Southport,1-1
Welling United,Wrexham,1-1
Barnet,Luton,1-2
Cambridge,Braintree Town,1-0
Dartford,Welling United,1-2
Forest Green,Aldershot,3-1
Gateshead,Halifax,1-1
Kidderminster,Hereford,2-1
Lincoln,Grimsby,0-2
Macclesfield,Hyde United,3-0
Southport,Chester,0-0
Tamworth,Nuneaton Town,1-1
Woking,Salisbury,1-3
Wrexham,Alfreton Town,2-3
Aldershot,Welling United,3-1
Alfreton Town,Southport,2-1
Braintree Town,Tamworth,2-0
Chester,Gateshead,1-1
Grimsby,Macclesfield,2-3
Halifax,Lincoln,5-1
Hereford,Forest Green,1-0
Hyde United,Wrexham,2-5
Luton,Kidderminster,6-0
Nuneaton Town,Cambridge,0-0
Salisbury,Barnet,2-1
Alfreton Town,Wrexham,1-0
Grimsby,Lincoln,1-1
Halifax,Gateshead,3-3
Hyde United,Macclesfield,0-3
Luton,Barnet,2-1
Barnet,Alfreton Town,1-0
Gateshead,Hyde United,4-0
Lincoln,Luton,0-0
Southport,Nuneaton Town,1-0
Tamworth,Halifax,2-0
Wrexham,Aldershot,2-1
Lincoln,Alfreton Town,4-1
Forest Green,Hereford,1-1
Welling United,Dartford,1-1
Gateshead,Nuneaton Town,2-1
Kidderminster,Salisbury,3-0
Southport,Hyde United,1-1
Woking,Braintree Town,1-0
Wrexham,Halifax,0-0
Gateshead,Aldershot,0-0
Welling United,Hyde United,0-2
Chester,Barnet,2-1
Grimsby,Gateshead,2-2
Halifax,Cambridge,1-1
Hereford,Southport,4-1
Hyde United,Forest Green,2-6
Nuneaton Town,Macclesfield,1-0
Salisbury,Dartford,1-0
Welling United,Woking,3-0
Barnet,Aldershot,1-3
Gateshead,Welling United,1-1
Kidderminster,Dartford,1-2
Macclesfield,Lincoln,3-1
Southport,Wrexham,1-2
Tamworth,Cambridge,0-1
Woking,Chester,0-1
Aldershot,Halifax,2-2
Barnet,Southport,1-0
Dartford,Cambridge,3-3
Forest Green,Chester,3-0
Hereford,Salisbury,1-0
Hyde United,Tamworth,0-3
Lincoln,Woking,2-2
Luton,Nuneaton Town,3-0
Welling United,Alfreton Town,1-2
Cambridge,Grimsby,1-2
Hereford,Kidderminster,1-1
Nuneaton Town,Aldershot,2-1
Wrexham,Tamworth,2-0
Chester,Welling United,1-3
Gateshead,Kidderminster,3-1
Lincoln,Halifax,3-1
Salisbury,Nuneaton Town,2-1
Woking,Hereford,3-0
Halifax,Salisbury,5-1
Lincoln,Nuneaton Town,1-2
Macclesfield,Chester,3-2
Grimsby,Southport,0-0
Hyde United,Lincoln,3-4
Salisbury,Alfreton Town,0-0
Wrexham,Dartford,1-2
Cambridge,Alfreton Town,0-1
Macclesfield,Luton,1-2
Salisbury,Woking,2-0
Tamworth,Hyde United,1-1
Chester,Halifax,2-1
Barnet,Tamworth,1-0
Gateshead,Woking,0-2
Lincoln,Kidderminster,2-0
Luton,Hereford,7-0
Nuneaton Town,Hyde United,1-0
Southport,Salisbury,3-1
Aldershot,Forest Green,2-2
Barnet,Grimsby,2-1
Cambridge,Wrexham,0-0
Dartford,Woking,5-1
Tamworth,Salisbury,1-2
Alfreton Town,Gateshead,1-1
Dartford,Hereford,2-0
Forest Green,Southport,3-1
Hyde United,Aldershot,2-2
Kidderminster,Braintree Town,2-2
Lincoln,Chester,1-1
Nuneaton Town,Luton,0-5
Tamworth,Welling United,1-1
Woking,Macclesfield,3-2
Wrexham,Barnet,0-1
Braintree Town,Cambridge,1-0
Dartford,Aldershot,1-1
Forest Green,Barnet,1-2
Hereford,Macclesfield,1-2
Kidderminster,Woking,2-0
Luton,Wrexham,5-0
Southport,Grimsby,2-1
Tamworth,Chester,3-4
Welling United,Gateshead,2-0
Aldershot,Lincoln,2-3
Barnet,Woking,1-3
Braintree Town,Hyde United,2-1
Cambridge,Kidderminster,5-1
Chester,Nuneaton Town,3-3
Gateshead,Forest Green,1-1
Grimsby,Salisbury,2-0
Halifax,Tamworth,2-0
Hereford,Wrexham,0-2
Luton,Alfreton Town,3-0
Southport,Dartford,3-0
